"UniqueID","Probability1"
6533,0.114
6534,0.216
6535,0.98
6536,0.326
6537,0.278
6538,0.638
6539,0.934
6540,0.066
6541,0.066
6542,0.01
6543,0.034
6544,0.928
6545,0.014
6546,0.012
6547,0.028
6548,0.866
6549,0.628
6550,0.246
6551,0.438
6552,0.048
6553,0.082
6554,0.018
6555,0.876
6556,0.004
6557,0
6558,0.614
6559,0.1
6560,0.562
6561,0.452
6562,0.01
6563,0.042
6564,0.026
6565,0.01
6566,0.062
6567,0.216
6568,0.95
6569,0.916
6570,0.028
6571,0.108
6572,0.664
6573,0.97
6574,0.89
6575,0.056
6576,0.73
6577,0.018
6578,0.006
6579,0.024
6580,0.022
6581,0.588
6582,0.022
6583,0.006
6584,0.272
6585,0.012
6586,0.1
6587,0.192
6588,0.04
6589,0.002
6590,0.13
6591,0.816
6592,0.022
6593,0.018
6594,0.054
6595,0.024
6596,0.03
6597,0.014
6598,0.008
6599,0.002
6600,0.372
6601,0.15
6602,0
6603,0.002
6604,0.068
6605,0.116
6606,0.874
6607,0.02
6608,0.834
6609,0.658
6610,0.002
6611,0.004
6612,0.36
6613,0.038
6614,0.072
6615,0
6616,0.12
6617,0.032
6618,0.098
6619,0.116
6620,0
6621,0.074
6622,0.054
6623,0.008
6624,0.066
6625,0.08
6626,0
6627,0.014
6628,0.006
6629,0.088
6630,0
6631,0.068
6632,0.268
6633,0.886
6634,0.03
6635,0.388
6636,0.334
6637,0.41
6638,0.422
6639,0.18
6640,0.31
6641,0.398
6642,0.294
6643,0.484
6644,0.33
6645,0.08
6646,0.294
6647,0.102
6648,0.032
6649,0.232
6650,0.966
6651,0
6652,0.004
6653,0.034
6654,0.012
6655,0.172
6656,0.036
6657,0.012
6658,0.054
6659,0.002
6660,0.422
6661,0.018
6662,0.026
6663,0.028
6664,0.442
6665,0.07
6666,0.002
6667,0.11
6668,0.006
6669,0.02
6670,0.722
6671,0.926
6672,0.008
6673,0.048
6674,0.054
6675,0.006
6676,0.002
6677,0.016
6678,0.012
6679,0.002
6680,0.818
6681,0.004
6682,0.034
6683,0.114
6684,0.362
6685,0.008
6686,0.01
6687,0.02
6688,0.888
6689,0.002
6690,0.03
6691,0.114
6692,0.154
6693,0.004
6694,0.798
6695,0.108
6696,0
6697,0.63
6698,0.074
6699,0.092
6700,0.01
6701,0.624
6702,0.028
6703,0.02
6704,0.17
6705,0.018
6706,0
6707,0.148
6708,0.012
6709,0.046
6710,0.028
6711,0.026
6712,0.042
6713,0.074
6714,0.096
6715,0.028
6716,0.044
6717,0.004
6718,0.312
6719,0.074
6720,0.94
6721,0
6722,0.034
6723,0.876
6724,0.208
6725,0.48
6726,0.098
6727,0.092
6728,0.828
6729,0.002
6730,0
6731,0.326
6732,0.02
6733,0.042
6734,0.024
6735,0.086
6736,0.064
6737,0.044
6738,0.09
6739,0.256
6740,0
6741,0.26
6742,0.014
6743,0.028
6744,0.122
6745,0.304
6746,0.036
6747,0.02
6748,0.038
6749,0.198
6750,0.812
6751,0.064
6752,0.332
6753,0.386
6754,0.004
6755,0.004
6756,0.022
6757,0.224
6758,0.156
6759,0.014
6760,0.018
6761,0.026
6762,0.012
6763,0.01
6764,0.794
6765,0.032
6766,0.034
6767,0.002
6768,0.146
6769,0.068
6770,0.204
6771,0.022
6772,0.16
6773,0.01
6774,0.002
6775,0.688
6776,0.022
6777,0
6778,0.026
6779,0.076
6780,0.81
6781,0.392
6782,0.188
6783,0.014
6784,0.018
6785,0.06
6786,0.016
6787,0.838
6788,0.076
6789,0.076
6790,0.088
6791,0.01
6792,0
6793,0.354
6794,0
6795,0.152
6796,0.026
6797,0.024
6798,0
6799,0.052
6800,0.046
6801,0.032
6802,0.052
6803,0
6804,0.002
6805,0.028
6806,0
6807,0.728
6808,0.996
6809,0.046
6810,0.934
6811,0.04
6812,0.206
6813,0
6814,0.044
6815,0.048
6816,0.216
6817,0.12
6818,0.028
6819,0.798
6820,0.072
6821,0.044
6822,0.028
6823,0.306
6824,0.582
6825,0.894
6826,0.028
6827,0.028
6828,0
6829,0.098
6830,0.094
6831,0.112
6832,0.12
6833,0.018
6834,0.03
6835,0.832
6836,0.016
6837,0.086
6838,0.028
6839,0.006
6840,0.106
6841,0.056
6842,0.034
6843,0.028
6844,0.924
6845,0.728
6846,0.062
6847,0.2
6848,0.148
6849,0.002
6850,0.086
6851,0.01
6852,0.866
6853,0.022
6854,0.028
6855,0.04
6856,0.032
6857,0.1
6858,0.046
6859,0.862
6860,0.592
6861,0.018
6862,0.01
6863,0.184
6864,0.464
6865,0.028
6866,0.878
6867,0.264
6868,0.018
6869,0.576
6870,0.06
6871,0.02
6872,0.098
6873,0.252
6874,0.268
6875,0.026
6876,0.008
6877,0.028
6878,0.4
6879,0.092
6880,0
6881,0.014
6882,0.048
6883,0.01
6884,0.042
6885,0.932
6886,0.068
6887,0.012
6888,0.054
6889,0.094
6890,0.012
6891,0.012
6892,0.01
6893,0.02
6894,0.006
6895,0.008
6896,0.026
6897,0.1
6898,0.042
6899,0.01
6900,0
6901,0
6902,0.044
6903,0.248
6904,0.964
6905,0.058
6906,0.05
6907,0.09
6908,0.01
6909,0.026
6910,0.028
6911,0.034
6912,0.002
6913,0.148
6914,0.008
6915,0.036
6916,0.032
6917,0.038
6918,0.278
6919,0
6920,0.124
6921,0.848
6922,0.102
6923,0.006
6924,0.14
6925,0.586
6926,0.006
6927,0.768
6928,0.032
6929,0.036
6930,0.02
6931,0.018
6932,0.018
6933,0.048
6934,0.828
6935,0.59
6936,0
6937,0.044
6938,0.058
6939,0.028
6940,0.71
6941,0.188
6942,0.01
6943,0.674
6944,0.056
6945,0.012
6946,0.02
6947,0.084
6948,0
6949,0.02
6950,0.374
6951,0.118
6952,0.042
6953,0.574
6954,0.052
6955,0.134
6956,0.668
6957,0.034
6958,0
6959,0.01
6960,0.126
6961,0.032
6962,0.026
6963,0.248
6964,0.086
6965,0.026
6966,0.202
6967,0.916
6968,0.152
6969,0.036
6970,0.016
6971,0.138
6972,0.446
6973,0.084
6974,0
6975,0.034
6976,0.088
6977,0.014
6978,0
6979,0.124
6980,0.008
6981,0.01
6982,0.258
6983,0.022
6984,0.006
6985,0.034
6986,0.024
6987,0
6988,0.024
6989,0.056
6990,0.9
6991,0.012
6992,0.012
6993,0.078
6994,0.02
6995,0.01
6996,0.126
6997,0.016
6998,0.01
6999,0
7000,0.068
7001,0.02
7002,0.688
7003,0.982
7004,0.212
7005,0.756
7006,0.03
7007,0.002
7008,0.018
7009,0.98
7010,0
7011,0.13
7012,0.928
