"UniqueID","Probability1"
6533,0.034
6534,0.128
6535,0.978
6536,0.246
6537,0.254
6538,0.698
6539,0.974
6540,0.058
6541,0.05
6542,0.014
6543,0.028
6544,0.97
6545,0.004
6546,0.006
6547,0.01
6548,0.906
6549,0.662
6550,0.166
6551,0.388
6552,0.028
6553,0.094
6554,0.012
6555,0.92
6556,0.006
6557,0
6558,0.508
6559,0.072
6560,0.486
6561,0.456
6562,0.016
6563,0.016
6564,0.012
6565,0.002
6566,0.028
6567,0.044
6568,0.894
6569,0.976
6570,0.028
6571,0.088
6572,0.742
6573,0.996
6574,0.904
6575,0.034
6576,0.566
6577,0.002
6578,0.006
6579,0.028
6580,0.032
6581,0.61
6582,0.022
6583,0
6584,0.432
6585,0.02
6586,0.088
6587,0.334
6588,0.014
6589,0
6590,0.24
6591,0.9
6592,0
6593,0.006
6594,0.032
6595,0.01
6596,0.02
6597,0.012
6598,0.006
6599,0
6600,0.34
6601,0.14
6602,0
6603,0.004
6604,0.04
6605,0.156
6606,0.95
6607,0.014
6608,0.79
6609,0.934
6610,0
6611,0.002
6612,0.306
6613,0.016
6614,0.092
6615,0
6616,0.18
6617,0.072
6618,0.072
6619,0.168
6620,0
6621,0.028
6622,0.06
6623,0.008
6624,0.052
6625,0.13
6626,0.002
6627,0
6628,0.006
6629,0.082
6630,0
6631,0.022
6632,0.246
6633,0.748
6634,0.034
6635,0.376
6636,0.288
6637,0.386
6638,0.466
6639,0.118
6640,0.338
6641,0.372
6642,0.222
6643,0.578
6644,0.286
6645,0.078
6646,0.206
6647,0.068
6648,0.014
6649,0.244
6650,0.992
6651,0
6652,0.004
6653,0.046
6654,0.01
6655,0.278
6656,0.012
6657,0
6658,0.034
6659,0.002
6660,0.394
6661,0.004
6662,0.01
6663,0.04
6664,0.344
6665,0.078
6666,0
6667,0.1
6668,0.002
6669,0.028
6670,0.718
6671,0.98
6672,0
6673,0.046
6674,0.102
6675,0
6676,0.004
6677,0.018
6678,0.012
6679,0
6680,0.948
6681,0.01
6682,0.03
6683,0.144
6684,0.48
6685,0.002
6686,0.022
6687,0.014
6688,0.874
6689,0
6690,0.004
6691,0.146
6692,0.182
6693,0.004
6694,0.754
6695,0.072
6696,0
6697,0.51
6698,0.088
6699,0.09
6700,0.004
6701,0.596
6702,0.004
6703,0.008
6704,0.252
6705,0.022
6706,0
6707,0.18
6708,0.002
6709,0.042
6710,0.002
6711,0.042
6712,0.01
6713,0.076
6714,0.138
6715,0.034
6716,0.028
6717,0.006
6718,0.168
6719,0.054
6720,0.94
6721,0
6722,0.004
6723,0.872
6724,0.064
6725,0.408
6726,0.082
6727,0.108
6728,0.852
6729,0.002
6730,0
6731,0.312
6732,0.008
6733,0.034
6734,0.008
6735,0.034
6736,0.058
6737,0.052
6738,0.052
6739,0.284
6740,0.002
6741,0.238
6742,0.002
6743,0.008
6744,0.064
6745,0.216
6746,0.046
6747,0.012
6748,0.026
6749,0.108
6750,0.782
6751,0.06
6752,0.426
6753,0.376
6754,0
6755,0.006
6756,0.02
6757,0.278
6758,0.332
6759,0.008
6760,0.026
6761,0.02
6762,0.01
6763,0.008
6764,0.814
6765,0.028
6766,0.02
6767,0.004
6768,0.184
6769,0.078
6770,0.17
6771,0.03
6772,0.116
6773,0.004
6774,0
6775,0.76
6776,0
6777,0
6778,0.01
6779,0.064
6780,0.746
6781,0.46
6782,0.166
6783,0
6784,0.006
6785,0.04
6786,0.018
6787,0.914
6788,0.034
6789,0.064
6790,0.07
6791,0.004
6792,0
6793,0.132
6794,0
6795,0.222
6796,0.016
6797,0.016
6798,0
6799,0.048
6800,0.066
6801,0.05
