"UniqueID","Probability1"
6533,0.102
6534,0.18
6535,0.986
6536,0.292
6537,0.162
6538,0.788
6539,0.9
6540,0.018
6541,0.062
6542,0
6543,0.008
6544,0.836
6545,0
6546,0
6547,0
6548,0.896
6549,0.724
6550,0.234
6551,0.25
6552,0.014
6553,0.05
6554,0.03
6555,0.95
6556,0.002
6557,0
6558,0.556
6559,0.042
6560,0.908
6561,0.574
6562,0.054
6563,0.046
6564,0.032
6565,0
6566,0.048
6567,0.232
6568,0.944
6569,0.932
6570,0.02
6571,0.056
6572,0.718
6573,0.972
6574,0.91
6575,0.002
6576,0.792
6577,0
6578,0.002
6579,0.038
6580,0
6581,0.842
6582,0.018
6583,0.004
6584,0.15
6585,0.002
6586,0.058
6587,0.274
6588,0
6589,0
6590,0.128
6591,0.85
6592,0.182
6593,0.002
6594,0.012
6595,0.002
6596,0.01
6597,0.022
6598,0
6599,0
6600,0.686
6601,0.12
6602,0
6603,0
6604,0.086
6605,0.172
6606,0.908
6607,0.014
6608,0.932
6609,0.672
6610,0
6611,0.002
6612,0.43
6613,0
6614,0.05
6615,0.002
6616,0.164
6617,0
6618,0.038
6619,0.034
6620,0.002
6621,0.04
6622,0.022
6623,0.006
6624,0
6625,0.002
6626,0
6627,0
6628,0.02
6629,0.098
6630,0
6631,0.042
6632,0.288
6633,0.9
6634,0.056
6635,0.442
6636,0.348
6637,0.528
6638,0.362
6639,0.19
6640,0.296
6641,0.32
6642,0.304
6643,0.502
6644,0.332
6645,0.05
6646,0.242
6647,0.016
6648,0.026
6649,0.194
6650,0.974
6651,0
6652,0
6653,0.038
6654,0.004
6655,0.394
6656,0.054
6657,0.002
6658,0.024
6659,0
6660,0.632
6661,0
6662,0
6663,0.002
6664,0.336
6665,0.064
6666,0
6667,0.05
6668,0.008
6669,0.008
6670,0.712
6671,0.828
6672,0
6673,0.084
6674,0.044
6675,0.004
6676,0
6677,0.008
6678,0.002
6679,0.002
6680,0.834
6681,0
6682,0.012
6683,0.094
6684,0.348
6685,0
6686,0
6687,0.03
6688,0.976
6689,0
6690,0
6691,0.118
6692,0.208
6693,0
6694,0.964
6695,0.046
6696,0
6697,0.806
6698,0.056
6699,0.056
6700,0.004
6701,0.722
6702,0.016
6703,0.008
6704,0.042
6705,0.002
6706,0.002
6707,0.024
6708,0.008
6709,0
6710,0.014
6711,0.008
6712,0.032
6713,0.01
6714,0.088
6715,0.006
6716,0
6717,0
6718,0.354
6719,0.062
6720,0.956
6721,0
6722,0.006
6723,0.988
6724,0.124
6725,0.634
6726,0.206
6727,0.122
6728,0.924
6729,0
6730,0
6731,0.428
6732,0
6733,0.05
6734,0.044
6735,0.032
6736,0.042
6737,0.006
6738,0.14
6739,0.252
6740,0
6741,0.246
6742,0
6743,0.014
6744,0.096
6745,0.324
6746,0.01
6747,0.002
6748,0.004
6749,0.04
6750,0.912
6751,0.008
6752,0.222
6753,0.4
6754,0.008
6755,0
6756,0.028
6757,0.256
6758,0.138
6759,0.006
6760,0.08
6761,0.014
6762,0.018
6763,0
6764,0.864
6765,0.032
6766,0.026
6767,0
6768,0.05
6769,0.02
6770,0.088
6771,0.096
6772,0.016
6773,0.002
6774,0
6775,0.702
6776,0.014
6777,0
6778,0.022
6779,0.104
6780,0.948
6781,0.228
6782,0.038
6783,0.038
6784,0.012
6785,0.052
6786,0.074
6787,0.93
6788,0.144
6789,0.008
6790,0.056
6791,0.002
6792,0.008
6793,0.408
6794,0
6795,0.138
6796,0.03
6797,0
6798,0.01
6799,0.028
6800,0.016
6801,0.072
6802,0
6803,0
6804,0.004
6805,0.012
6806,0
6807,0.67
6808,0.998
6809,0.06
6810,0.97
6811,0.012
6812,0.056
6813,0.002
6814,0.018
6815,0.052
6816,0.236
6817,0.218
6818,0.022
6819,0.946
6820,0.026
6821,0.026
6822,0.006
6823,0.288
6824,0.532
6825,0.966
6826,0
6827,0.006
6828,0
6829,0.084
6830,0.05
6831,0.042
6832,0.002
6833,0.012
6834,0.01
6835,0.984
6836,0.004
6837,0.046
6838,0.04
6839,0.01
6840,0
6841,0.006
6842,0.014
6843,0.002
6844,0.87
6845,0.838
6846,0
6847,0.17
6848,0.004
6849,0
6850,0.344
6851,0
6852,0.868
6853,0.028
6854,0.016
6855,0.004
6856,0.062
6857,0.064
6858,0.004
6859,0.774
6860,0.624
6861,0
6862,0.018
6863,0.03
6864,0.402
6865,0.022
6866,0.846
6867,0.254
6868,0.002
6869,0.562
6870,0.018
6871,0.012
6872,0.04
6873,0.048
6874,0.28
6875,0.074
6876,0.032
6877,0.1
6878,0.444
6879,0.022
6880,0
6881,0.01
6882,0.028
6883,0.004
6884,0.006
6885,0.944
6886,0.032
6887,0
6888,0.012
6889,0.03
6890,0
6891,0.022
6892,0
6893,0.016
6894,0.008
6895,0.002
6896,0.002
6897,0.016
6898,0.016
6899,0.012
6900,0
6901,0
6902,0.03
6903,0.248
6904,0.964
6905,0.016
6906,0.048
6907,0.044
6908,0
6909,0.07
6910,0
6911,0.02
6912,0
6913,0.17
6914,0
6915,0
6916,0.01
6917,0.018
6918,0.306
6919,0.006
6920,0.17
6921,0.836
6922,0.09
6923,0
6924,0.048
6925,0.646
6926,0.004
6927,0.726
6928,0
6929,0.02
6930,0.008
6931,0.02
6932,0.04
6933,0.002
