"UniqueID","Probability1"
6533,0.07
6534,0.204
6535,0.988
6536,0.284
6537,0.136
6538,0.814
6539,0.892
6540,0.028
6541,0.072
6542,0.002
6543,0.008
6544,0.818
6545,0.002
6546,0
6547,0
6548,0.908
6549,0.72
6550,0.226
6551,0.274
6552,0.012
6553,0.058
6554,0.032
6555,0.938
6556,0.006
6557,0
6558,0.536
6559,0.024
6560,0.946
6561,0.488
6562,0.058
6563,0.04
6564,0.016
6565,0
6566,0.042
6567,0.192
6568,0.934
6569,0.934
6570,0.038
6571,0.066
6572,0.744
6573,0.978
6574,0.922
6575,0.016
6576,0.804
6577,0
6578,0.002
6579,0.036
6580,0
6581,0.854
6582,0.014
6583,0.002
6584,0.112
6585,0
6586,0.056
6587,0.298
6588,0
6589,0
6590,0.128
6591,0.872
6592,0.188
6593,0.004
6594,0.01
6595,0
6596,0.008
6597,0.024
6598,0
6599,0.002
6600,0.716
6601,0.158
6602,0
6603,0
6604,0.08
6605,0.168
6606,0.916
6607,0.004
6608,0.928
6609,0.73
6610,0
6611,0.002
6612,0.424
6613,0
6614,0.05
6615,0.002
6616,0.19
6617,0
6618,0.02
6619,0.068
6620,0
6621,0.04
6622,0.046
6623,0.006
6624,0
6625,0.008
6626,0
6627,0.002
6628,0.032
6629,0.082
6630,0
6631,0.042
6632,0.242
6633,0.938
6634,0.044
6635,0.468
6636,0.336
6637,0.466
6638,0.324
6639,0.2
6640,0.282
6641,0.316
6642,0.31
6643,0.426
6644,0.322
6645,0.054
6646,0.24
6647,0.008
6648,0.012
6649,0.216
6650,0.95
6651,0
6652,0
6653,0.042
6654,0.008
6655,0.332
6656,0.082
6657,0.006
6658,0.024
6659,0.002
6660,0.604
6661,0
6662,0.004
6663,0.016
6664,0.318
6665,0.07
6666,0
6667,0.038
6668,0.006
6669,0.008
6670,0.714
6671,0.834
6672,0
6673,0.06
6674,0.054
6675,0.002
6676,0
6677,0.014
6678,0.004
6679,0.004
6680,0.812
6681,0
6682,0.02
6683,0.088
6684,0.396
6685,0.002
6686,0
6687,0.018
6688,0.974
6689,0
6690,0.004
6691,0.148
6692,0.198
6693,0
6694,0.964
6695,0.052
6696,0
6697,0.818
6698,0.07
6699,0.054
6700,0.014
6701,0.77
6702,0.028
6703,0.03
6704,0.044
6705,0.002
6706,0
6707,0.02
6708,0.008
6709,0
6710,0.008
6711,0.002
6712,0.03
6713,0.004
6714,0.092
6715,0
6716,0
6717,0
6718,0.346
6719,0.038
6720,0.956
6721,0
6722,0.004
6723,0.894
6724,0.124
6725,0.548
6726,0.198
6727,0.108
6728,0.932
6729,0
6730,0
6731,0.422
6732,0.002
6733,0.05
6734,0.026
6735,0.03
6736,0.022
6737,0
6738,0.136
6739,0.254
6740,0
6741,0.224
6742,0
6743,0.006
6744,0.066
6745,0.34
6746,0.018
6747,0.008
6748,0.012
6749,0.044
6750,0.922
6751,0
6752,0.246
6753,0.35
6754,0.006
6755,0
6756,0.042
6757,0.26
6758,0.106
6759,0.014
6760,0.078
6761,0.008
6762,0.008
6763,0.004
6764,0.83
6765,0.024
6766,0.022
6767,0.002
6768,0.042
6769,0.02
6770,0.112
6771,0.092
6772,0.016
6773,0.002
6774,0
6775,0.72
6776,0.022
6777,0
6778,0.034
6779,0.118
6780,0.968
6781,0.254
6782,0.06
6783,0.038
6784,0.016
6785,0.042
6786,0.08
6787,0.96
6788,0.098
6789,0.008
6790,0.054
6791,0.006
6792,0.002
6793,0.39
6794,0
6795,0.138
6796,0.024
6797,0
6798,0.01
6799,0.014
6800,0.012
6801,0.074
6802,0
6803,0
6804,0
6805,0.004
6806,0
6807,0.646
6808,0.998
6809,0.044
6810,0.982
6811,0.026
6812,0.046
6813,0
6814,0.006
6815,0.04
6816,0.222
6817,0.23
6818,0.016
6819,0.946
6820,0.03
6821,0.026
6822,0.004
6823,0.29
6824,0.574
6825,0.956
6826,0.004
6827,0.004
6828,0
6829,0.056
6830,0.032
6831,0.042
6832,0
6833,0.004
6834,0.012
6835,0.98
6836,0.002
6837,0.034
6838,0.038
6839,0.006
6840,0
6841,0.002
6842,0.02
6843,0
6844,0.88
6845,0.83
6846,0
6847,0.192
6848,0.002
6849,0.004
6850,0.354
6851,0
6852,0.882
6853,0.028
6854,0.026
6855,0.012
6856,0.056
6857,0.048
6858,0.008
6859,0.808
6860,0.632
6861,0
6862,0.014
6863,0.038
6864,0.466
6865,0.018
6866,0.852
6867,0.26
6868,0.008
6869,0.642
6870,0.018
6871,0.012
6872,0.056
6873,0.054
6874,0.234
6875,0.052
6876,0.028
6877,0.064
6878,0.404
6879,0.022
6880,0
6881,0.008
6882,0.02
6883,0.006
6884,0.002
6885,0.952
6886,0.032
6887,0
6888,0.008
6889,0.026
6890,0
6891,0.02
6892,0.014
6893,0.02
6894,0.002
6895,0
6896,0.002
6897,0.022
6898,0.032
6899,0.002
6900,0
6901,0
6902,0.022
6903,0.25
6904,0.976
6905,0.02
6906,0.034
6907,0.052
6908,0
6909,0.074
6910,0
6911,0.024
6912,0
6913,0.142
6914,0
6915,0.006
6916,0.006
6917,0.008
6918,0.348
6919,0.004
6920,0.202
6921,0.834
6922,0.078
6923,0
6924,0.054
6925,0.624
6926,0.004
6927,0.738
6928,0
6929,0.016
6930,0.008
6931,0.016
6932,0.026
6933,0.004
6934,0.702
6935,0.442
6936,0
6937,0.004
6938,0.036
6939,0.008
6940,0.864
6941,0.196
6942,0.002
6943,0.86
6944,0.024
6945,0
6946,0.04
6947,0.066
6948,0
6949,0.002
6950,0.344
6951,0.144
6952,0.022
6953,0.522
6954,0.036
6955,0.16
6956,0.888
6957,0.002
6958,0
6959,0.012
6960,0.192
6961,0.03
6962,0.008
6963,0.534
6964,0.004
6965,0.026
6966,0.108
6967,0.916
6968,0.1
6969,0.018
6970,0.028
6971,0.16
6972,0.682
6973,0.078
6974,0.002
6975,0.018
6976,0.02
6977,0.01
6978,0
6979,0.14
6980,0.008
6981,0
6982,0.212
6983,0.028
6984,0
6985,0.016
6986,0.002
6987,0
6988,0
6989,0.102
6990,0.886
6991,0
6992,0.012
6993,0.008
6994,0.006
6995,0.002
6996,0.034
6997,0
6998,0.012
6999,0
7000,0.056
7001,0.022
7002,0.852
7003,0.992
7004,0.118
7005,0.832
7006,0.012
7007,0
7008,0.016
7009,0.968
7010,0.004
7011,0.06
7012,0.936
7013,0.06
7014,0.632
7015,0.034
7016,0.83
7017,0.41
7018,0.356
7019,0.124
7020,0.146
7021,0.848
7022,0.972
7023,0.82
7024,0.984
7025,0.02
7026,0.922
7027,0.05
7028,0.004
7029,0.006
7030,0.562
7031,0.004
7032,0.24
7033,0.018
7034,0.28
7035,0.444
7036,0.264
7037,0.86
7038,0.082
7039,0.152
7040,0.06
7041,0.002
7042,0.004
7043,0.09
7044,0.348
7045,0.404
7046,0.006
7047,0.894
7048,0.864
7049,0.184
7050,0
7051,0.028
7052,0.166
7053,0.062
7054,0.002
7055,0.018
7056,0.476
7057,0.092
7058,0.162
7059,0.016
7060,0.002
7061,0.976
7062,0.018
7063,0.008
7064,0.096
7065,0.124
7066,0.344
7067,0.01
7068,0
7069,0.012
7070,0.202
7071,0.114
7072,0.786
7073,0.35
7074,0.006
7075,0.246
7076,0.05
7077,0
7078,0.122
7079,0.344
7080,0.002
7081,0.284
7082,0.73
7083,0
7084,0.788
7085,0
7086,0.012
7087,0.868
7088,0.002
7089,0.612
7090,0
7091,0
7092,0.088
7093,0.004
7094,0
7095,0.5
7096,0.036
7097,0.966
7098,0.148
7099,0
7100,0.034
7101,0.008
7102,0.04
7103,0.192
7104,0.01
7105,0.006
7106,0.004
7107,0
7108,0.002
7109,0.026
7110,0.026
7111,0
7112,0.026
7113,0.008
7114,0
7115,0
7116,0.432
7117,0.024
7118,0.156
7119,0
7120,1
7121,0.3
7122,0.114
7123,0.126
7124,0.292
7125,0
7126,0.14
7127,0.01
7128,0.018
7129,0
7130,0.03
7131,0.928
7132,0.164
7133,0.044
7134,0.072
7135,0.026
7136,0.352
7137,0.002
7138,0.45
7139,0.018
7140,0.172
7141,0.936
7142,0.05
7143,0.048
7144,0
7145,0.932
7146,0.034
7147,0
7148,0.948
7149,0.018
7150,0.79
7151,0.25
7152,0.046
7153,0.156
7154,0.02
7155,0.126
7156,0.036
7157,0
7158,0.098
7159,0.002
7160,0
7161,0
7162,0.088
7163,0.188
7164,0.054
7165,0.004
7166,0.006
7167,0
7168,0.014
7169,0.002
7170,0.002
7171,0.006
7172,0
7173,0.034
7174,0.026
7175,0.064
7176,0.274
7177,0.056
7178,0.946
7179,0.06
7180,0.49
7181,0.346
7182,0.034
7183,0
7184,0.014
7185,0.956
7186,0.496
7187,0
7188,0.696
7189,0.006
7190,0.004
7191,0.026
7192,0.004
7193,0.006
7194,0.006
7195,0
7196,0.01
7197,0
7198,0.008
7199,0
7200,0.026
7201,0
7202,0.168
7203,0.046
7204,0
7205,0.008
7206,0.1
7207,0.168
7208,0.898
7209,0.126
7210,0.2
7211,0.098
7212,0.032
7213,0.118
7214,0.036
7215,0.006
7216,0.036
7217,0.156
7218,0.932
7219,0
7220,0.184
7221,0.004
7222,0.004
7223,0.01
7224,0
7225,0.358
7226,0.006
7227,0.028
7228,0.014
7229,0.93
7230,0.682
7231,0
7232,0.372
7233,0.358
7234,0.626
7235,0.06
7236,0.08
7237,0
7238,0.916
7239,0.01
7240,0.012
7241,0.14
7242,0.968
7243,0.024
7244,0.026
7245,0.05
7246,0
7247,0.004
7248,0.532
7249,0.004
7250,0.088
7251,0.032
7252,0.052
7253,0
7254,0.312
7255,0.56
