"UniqueID","Probability1"
6533,0.112
6534,0.182
6535,0.994
6536,0.316
6537,0.196
6538,0.824
6539,0.91
6540,0.02
6541,0.07
6542,0
6543,0.002
6544,0.83
6545,0
6546,0.016
6547,0
6548,0.912
6549,0.862
6550,0.326
6551,0.298
6552,0.014
6553,0.074
6554,0.036
6555,0.928
6556,0.008
6557,0
6558,0.588
6559,0.026
6560,0.946
6561,0.526
6562,0.062
6563,0.048
6564,0.018
6565,0.002
6566,0.058
6567,0.24
6568,0.95
6569,0.938
6570,0.034
6571,0.058
6572,0.734
6573,0.966
6574,0.938
6575,0.03
6576,0.768
6577,0.004
6578,0
6579,0.046
6580,0.006
6581,0.62
6582,0.026
6583,0.006
6584,0.122
6585,0
6586,0.044
6587,0.344
6588,0
6589,0.004
6590,0.172
6591,0.842
6592,0.04
6593,0.014
6594,0.024
6595,0.012
6596,0.016
6597,0.016
6598,0.002
6599,0.002
6600,0.566
6601,0.122
6602,0
6603,0.002
6604,0.078
6605,0.116
6606,0.87
6607,0.016
6608,0.916
6609,0.708
6610,0
6611,0.004
6612,0.414
6613,0.002
6614,0.088
6615,0
6616,0.162
6617,0
6618,0.042
6619,0.07
6620,0
6621,0.048
6622,0.022
6623,0.004
6624,0.002
6625,0.008
6626,0
6627,0.002
6628,0
6629,0.068
6630,0
6631,0.048
6632,0.252
6633,0.904
6634,0.068
6635,0.522
6636,0.312
6637,0.498
6638,0.358
6639,0.202
6640,0.266
6641,0.346
6642,0.284
6643,0.468
6644,0.364
6645,0.026
6646,0.33
6647,0.01
6648,0.018
6649,0.178
6650,0.97
6651,0
6652,0
6653,0.038
6654,0.008
6655,0.22
6656,0.082
6657,0.02
6658,0.026
6659,0.002
6660,0.436
6661,0
6662,0.004
6663,0.01
6664,0.384
6665,0.054
6666,0
6667,0.052
6668,0.02
6669,0.014
6670,0.718
6671,0.872
6672,0.006
6673,0.04
6674,0.052
6675,0.004
6676,0.002
6677,0.008
6678,0.008
6679,0.004
6680,0.818
6681,0.004
6682,0.018
6683,0.146
6684,0.366
6685,0.01
6686,0
6687,0.028
6688,0.992
6689,0
6690,0.004
6691,0.156
6692,0.242
6693,0
6694,0.97
6695,0.078
6696,0
6697,0.784
6698,0.074
6699,0.054
6700,0.004
6701,0.724
6702,0.034
6703,0.03
6704,0.052
6705,0.002
6706,0
6707,0.076
6708,0.008
6709,0
6710,0.01
6711,0.006
6712,0.042
6713,0
6714,0.068
6715,0.006
6716,0
6717,0.002
6718,0.32
6719,0.054
6720,0.958
6721,0
6722,0.01
6723,0.896
6724,0.114
6725,0.616
6726,0.052
6727,0.096
6728,0.936
6729,0
6730,0
6731,0.28
6732,0.022
6733,0.044
6734,0.03
6735,0.06
6736,0.024
6737,0
6738,0.178
6739,0.254
6740,0
6741,0.342
6742,0.004
6743,0.02
6744,0.1
6745,0.376
6746,0
6747,0.008
6748,0.026
6749,0.04
6750,0.904
6751,0.002
6752,0.246
6753,0.4
6754,0.008
6755,0
6756,0.016
6757,0.292
6758,0.106
6759,0.002
6760,0.018
6761,0.01
6762,0.006
6763,0.002
6764,0.86
6765,0.026
6766,0.03
6767,0.014
6768,0.06
6769,0.032
6770,0.17
6771,0.078
6772,0.022
6773,0.004
6774,0
6775,0.7
6776,0.018
6777,0
6778,0.018
6779,0.088
6780,0.964
6781,0.26
6782,0.052
6783,0.046
6784,0.012
6785,0.028
6786,0.02
6787,0.932
6788,0.078
6789,0.018
6790,0.058
6791,0.004
6792,0.004
6793,0.316
6794,0
6795,0.12
6796,0.024
6797,0
6798,0.002
6799,0.014
6800,0
6801,0.06
6802,0
6803,0
6804,0
6805,0.004
6806,0
6807,0.676
6808,0.998
6809,0.05
6810,0.984
6811,0.02
6812,0.026
6813,0.002
6814,0.004
6815,0.142
6816,0.266
6817,0.182
6818,0.032
6819,0.932
6820,0.03
6821,0.022
6822,0.006
6823,0.036
6824,0.498
6825,0.95
6826,0.034
6827,0.004
6828,0
6829,0.088
6830,0.042
6831,0.038
6832,0.034
6833,0.01
6834,0.026
6835,0.954
6836,0.004
6837,0.052
6838,0.03
6839,0.006
6840,0.012
6841,0
6842,0.018
6843,0
6844,0.872
6845,0.828
6846,0
6847,0.212
6848,0.002
6849,0.002
6850,0.03
6851,0
6852,0.876
6853,0.022
6854,0.024
6855,0.018
6856,0.056
6857,0.052
6858,0
6859,0.812
6860,0.664
6861,0
6862,0.012
6863,0.054
6864,0.502
6865,0.026
6866,0.822
6867,0.398
6868,0.006
6869,0.636
6870,0.042
6871,0.02
6872,0.044
6873,0.076
6874,0.228
6875,0.078
6876,0.046
6877,0.054
6878,0.382
6879,0.052
6880,0
6881,0.018
6882,0.02
6883,0.004
6884,0.02
6885,0.976
6886,0.024
6887,0
6888,0.006
6889,0.03
6890,0
6891,0.014
6892,0.004
6893,0.004
6894,0.006
6895,0.004
6896,0
6897,0.026
6898,0.002
6899,0.004
6900,0
6901,0
6902,0.032
6903,0.21
6904,0.966
6905,0.054
6906,0.024
6907,0.072
6908,0.004
6909,0.042
6910,0.002
6911,0.02
6912,0.002
6913,0.134
6914,0
6915,0.018
6916,0.01
6917,0.014
6918,0.152
6919,0
6920,0.25
6921,0.872
6922,0.09
6923,0.006
6924,0.068
6925,0.632
6926,0.004
6927,0.786
6928,0
6929,0.004
6930,0.018
6931,0.006
6932,0.032
6933,0
6934,0.78
6935,0.53
6936,0
6937,0.022
6938,0.034
6939,0.002
6940,0.874
6941,0.172
6942,0.01
6943,0.808
6944,0.026
6945,0
6946,0.036
6947,0.178
6948,0
6949,0.058
6950,0.41
6951,0.146
6952,0.022
6953,0.65
6954,0.016
6955,0.162
6956,0.93
6957,0.008
6958,0
6959,0.018
6960,0.186
6961,0.032
6962,0.012
6963,0.258
6964,0.006
6965,0.024
6966,0.14
6967,0.946
6968,0.1
6969,0.038
6970,0.012
6971,0.212
6972,0.454
6973,0.092
6974,0.002
6975,0.016
6976,0.034
6977,0.012
6978,0
6979,0.112
6980,0.004
6981,0.004
6982,0.402
6983,0.024
6984,0.01
6985,0.018
6986,0.002
6987,0
6988,0.002
6989,0.076
6990,0.912
6991,0.002
6992,0.014
6993,0.004
6994,0.012
6995,0.008
6996,0.066
6997,0
6998,0.038
6999,0
7000,0.082
7001,0.016
7002,0.792
7003,0.996
7004,0.146
7005,0.81
7006,0.026
7007,0
7008,0.016
7009,0.962
7010,0.004
7011,0.062
7012,0.928
7013,0.058
7014,0.65
7015,0.032
7016,0.868
7017,0.42
7018,0.32
7019,0.094
7020,0.092
7021,0.844
7022,0.972
7023,0.808
7024,0.982
7025,0.018
7026,0.942
7027,0.042
7028,0.004
7029,0
7030,0.578
7031,0.004
7032,0.208
7033,0.048
7034,0.294
7035,0.43
7036,0.28
7037,0.848
7038,0.088
7039,0.13
7040,0.082
7041,0
7042,0.004
7043,0.086
7044,0.488
7045,0.23
7046,0.004
7047,0.746
7048,0.948
7049,0.192
7050,0
7051,0.042
7052,0.236
7053,0.104
7054,0.012
7055,0.016
7056,0.696
7057,0.118
7058,0.214
7059,0.024
7060,0.002
7061,0.976
7062,0.02
7063,0.014
7064,0.068
7065,0.08
7066,0.356
7067,0.014
7068,0
7069,0.01
7070,0.198
7071,0.124
7072,0.82
7073,0.434
7074,0.004
7075,0.11
7076,0.002
7077,0
7078,0.13
7079,0.402
7080,0
7081,0.342
7082,0.72
7083,0
7084,0.848
7085,0.006
7086,0.01
7087,0.92
7088,0.002
7089,0.596
7090,0.004
7091,0
7092,0.114
7093,0.002
7094,0.004
7095,0.56
7096,0.026
7097,0.966
7098,0.138
7099,0
7100,0.036
7101,0.004
7102,0.03
7103,0.292
7104,0.004
7105,0.01
7106,0.01
7107,0
7108,0.006
7109,0.032
7110,0.044
7111,0
7112,0.03
7113,0.006
7114,0
7115,0
7116,0.464
7117,0.02
7118,0.142
7119,0
7120,0.934
7121,0.282
7122,0.116
7123,0.122
7124,0.254
7125,0
7126,0.136
7127,0.002
7128,0.006
7129,0
7130,0.01
7131,0.934
7132,0.228
7133,0.042
7134,0.05
7135,0.038
7136,0.364
7137,0.006
7138,0.446
7139,0.036
7140,0.122
7141,0.992
7142,0.006
7143,0.084
7144,0.006
7145,0.934
7146,0.032
7147,0
7148,0.958
7149,0.022
7150,0.824
7151,0.276
7152,0.036
7153,0.15
7154,0.036
7155,0.178
7156,0.004
7157,0
7158,0.084
7159,0
7160,0
7161,0
7162,0.104
7163,0.086
7164,0.006
7165,0.008
7166,0.006
7167,0
7168,0.018
7169,0
7170,0.006
7171,0.012
7172,0
7173,0.018
7174,0.012
7175,0.072
7176,0.31
7177,0.066
7178,0.936
7179,0.06
7180,0.5
7181,0.434
7182,0.052
7183,0
7184,0.004
7185,0.942
7186,0.512
7187,0.028
7188,0.858
7189,0.004
7190,0.004
7191,0.02
7192,0.024
7193,0
7194,0.026
7195,0.002
7196,0.012
7197,0
7198,0.018
7199,0
7200,0.014
7201,0.004
7202,0.162
7203,0.064
7204,0
7205,0.018
7206,0.12
7207,0.162
7208,0.864
7209,0.114
7210,0.324
7211,0.088
7212,0.03
7213,0.08
7214,0.024
7215,0.016
7216,0.046
7217,0.128
7218,0.94
7219,0
7220,0.15
7221,0.01
7222,0.016
7223,0.006
7224,0.004
7225,0.382
7226,0.014
7227,0.03
7228,0.016
7229,0.938
7230,0.588
7231,0.002
7232,0.304
7233,0.398
7234,0.696
7235,0.048
7236,0.012
7237,0
7238,0.952
7239,0.014
7240,0.014
7241,0.012
7242,0.954
7243,0.018
7244,0.02
7245,0.054
7246,0
7247,0.01
7248,0.502
7249,0
7250,0.072
7251,0.046
7252,0.018
7253,0
7254,0.298
7255,0.396
7256,0.216
7257,0.004
7258,0.908
7259,0.16
7260,0.046
7261,0.004
7262,0.218
7263,0.09
7264,0.24
7265,0.198
7266,0.214
7267,0
7268,0.694
7269,0
7270,0.002
7271,0.218
7272,0.008
7273,0.256
7274,0.198
7275,0.03
7276,0.026
7277,0.052
7278,0.01
7279,0.144
7280,0.008
7281,0.002
7282,0.194
7283,0.042
7284,0.02
7285,0.148
7286,0.12
7287,0.004
7288,0.69
7289,0
7290,0.596
7291,0.168
7292,0.03
7293,0.05
7294,0.026
7295,0.068
7296,0.012
7297,0.01
7298,0.098
7299,0.01
7300,0.008
7301,0.028
7302,0.068
7303,0.044
7304,0.016
7305,0
7306,0
7307,0.684
7308,0.68
7309,0.046
7310,0.046
7311,0.132
7312,0.216
7313,0.308
7314,0.556
7315,0
7316,0.464
7317,0.18
7318,0.086
7319,0.03
7320,0.076
7321,0.048
7322,0.022
7323,0.046
7324,0.046
7325,0
7326,0.064
7327,0.002
7328,0.006
7329,0.01
7330,0.116
7331,0
7332,0.08
7333,0.188
7334,0.086
7335,0.054
7336,0.014
7337,0.496
7338,0.052
7339,0.034
7340,0
7341,0
7342,0.348
7343,0.016
7344,0.918
7345,0.002
7346,0.004
7347,0.044
7348,0
7349,0.87
7350,0.042
7351,0.058
7352,0
7353,0
7354,0.03
7355,0.508
7356,0.066
7357,0.852
7358,0.024
7359,0.134
7360,0
7361,0
7362,0.014
7363,0.006
7364,0
7365,0.022
7366,0.01
7367,0.122
7368,0.002
7369,0.014
7370,0.004
7371,0
7372,0
7373,0.05
7374,0.098
7375,0.676
7376,0.068
7377,0.142
7378,0.054
7379,0.116
7380,0.162
7381,0.104
7382,0.64
7383,0
7384,0.064
7385,0
7386,0.068
7387,0.186
7388,0.014
7389,0
7390,0.234
7391,0.004
7392,0.006
7393,0.628
7394,0.014
7395,0
7396,0.028
7397,0.018
7398,0.098
7399,0.024
7400,0.018
7401,0.06
7402,0.03
7403,0.012
7404,0.134
7405,0.258
7406,0
7407,0
7408,0.032
7409,0
7410,0.008
7411,0.966
7412,0.222
7413,0.088
7414,0.012
7415,0.782
7416,0.128
7417,0.004
7418,0.002
7419,0.256
7420,0.006
7421,0
7422,0.004
7423,0.012
7424,0.024
7425,0
7426,0.004
7427,0.032
7428,0
7429,0.224
7430,0.78
7431,0
7432,0
7433,0.176
7434,0.008
7435,0.046
7436,0.124
7437,0.81
7438,0.06
7439,0.148
7440,0.064
7441,0.08
7442,0.006
7443,0.236
7444,0.014
7445,0.414
7446,0.014
7447,0.282
7448,0.006
7449,0.05
7450,0.092
7451,0.002
7452,0.012
7453,0.05
7454,0.136
7455,0.15
7456,0.024
7457,0.016
7458,0.064
7459,0.164
7460,0.014
7461,0.048
7462,0.02
7463,0.27
7464,0.004
7465,0.01
7466,0.014
7467,0.026
7468,0.416
7469,0.018
7470,0.992
7471,0.32
7472,0.112
7473,0.286
7474,0.764
7475,0.404
7476,0.084
7477,0
7478,0.044
7479,0.004
7480,0.446
7481,0.002
7482,0.052
7483,0.002
7484,0.01
7485,0.09
7486,0.01
7487,0.04
7488,0.046
7489,0.004
7490,0.05
7491,0
7492,0
7493,0.002
7494,0.012
7495,0.95
7496,0.73
7497,0.08
7498,0.492
7499,0.188
7500,0.412
7501,0.036
7502,0.952
7503,0.98
7504,0.002
7505,0.352
7506,0.446
7507,0.882
7508,0.018
7509,0.462
7510,0.118
7511,0.508
7512,0.032
7513,0.616
7514,0.148
7515,0.016
7516,0.058
7517,0.036
7518,0.02
7519,0.956
7520,0.562
7521,0.23
7522,0.034
7523,0.16
7524,0.228
7525,0.124
7526,0.098
7527,0.998
7528,0.212
7529,0.41
7530,0.05
7531,0.214
7532,0.21
7533,0.914
7534,0.91
7535,0.54
7536,0.562
7537,0.024
7538,0.954
7539,0.278
7540,0.05
7541,0.598
7542,0.878
7543,0.014
7544,0.902
7545,0.006
7546,0
7547,0.012
7548,0
7549,0.044
7550,0.034
7551,0.042
7552,0.014
7553,0
7554,0.002
7555,0.966
7556,0.002
7557,0.242
7558,0.962
7559,0.438
7560,0.006
7561,0.342
7562,0.062
7563,0.002
