"UniqueID","Probability1"
6533,0.074
6534,0.172
6535,0.982
6536,0.3
6537,0.196
6538,0.772
6539,0.912
6540,0.054
6541,0.064
6542,0
6543,0.004
6544,0.852
6545,0.006
6546,0.018
6547,0
6548,0.866
6549,0.698
6550,0.216
6551,0.354
6552,0.016
6553,0.094
6554,0.03
6555,0.92
6556,0.002
6557,0
6558,0.542
6559,0.024
6560,0.908
6561,0.55
6562,0.022
6563,0.048
6564,0.06
6565,0
6566,0.05
6567,0.348
6568,0.942
6569,0.944
6570,0.028
6571,0.086
6572,0.736
6573,0.986
6574,0.926
6575,0.042
6576,0.782
6577,0
6578,0.008
6579,0.03
6580,0
6581,0.632
6582,0.02
6583,0.002
6584,0.058
6585,0
6586,0.044
6587,0.326
6588,0
6589,0
6590,0.148
6591,0.838
6592,0.02
6593,0
6594,0.03
6595,0.008
6596,0.006
6597,0.02
6598,0
6599,0.002
6600,0.534
6601,0.14
6602,0
6603,0.002
6604,0.084
6605,0.128
6606,0.886
6607,0.016
6608,0.918
6609,0.7
6610,0
6611,0.002
6612,0.442
6613,0
6614,0.078
6615,0
6616,0.156
6617,0
6618,0.03
6619,0.066
6620,0
6621,0.092
6622,0.056
6623,0.006
6624,0.004
6625,0
6626,0
6627,0
6628,0
6629,0.046
6630,0
6631,0.046
6632,0.244
6633,0.928
6634,0.054
6635,0.486
6636,0.35
6637,0.552
6638,0.396
6639,0.27
6640,0.29
6641,0.432
6642,0.326
6643,0.524
6644,0.378
6645,0.058
6646,0.286
6647,0.068
6648,0.026
6649,0.282
6650,0.966
6651,0
6652,0
6653,0.056
6654,0.016
6655,0.23
6656,0.096
6657,0.008
6658,0.068
6659,0.002
6660,0.472
6661,0
6662,0.002
6663,0.012
6664,0.38
6665,0.082
6666,0
6667,0.04
6668,0.016
6669,0.01
6670,0.782
6671,0.86
6672,0
6673,0.044
6674,0.038
6675,0.006
6676,0
6677,0.014
6678,0.004
6679,0
6680,0.846
6681,0.002
6682,0.016
6683,0.146
6684,0.386
6685,0.01
6686,0
6687,0.036
6688,0.996
6689,0
6690,0.006
6691,0.162
6692,0.24
6693,0
6694,0.976
6695,0.072
6696,0
6697,0.812
6698,0.1
6699,0.164
6700,0.016
6701,0.662
6702,0.032
6703,0.028
6704,0.062
6705,0
6706,0
6707,0.158
6708,0.016
6709,0
6710,0.008
6711,0.004
6712,0.038
6713,0.004
6714,0.076
6715,0.004
6716,0
6717,0
6718,0.392
6719,0.064
6720,0.97
6721,0
6722,0.008
6723,0.892
6724,0.134
6725,0.588
6726,0.066
6727,0.144
6728,0.938
6729,0
6730,0
6731,0.188
6732,0.024
6733,0.05
6734,0.036
6735,0.05
6736,0.046
6737,0
6738,0.164
6739,0.216
6740,0
6741,0.188
6742,0.004
6743,0.014
6744,0.03
6745,0.366
6746,0.01
6747,0.002
6748,0.02
6749,0.174
6750,0.822
6751,0.006
6752,0.294
6753,0.478
6754,0.01
6755,0
6756,0.034
6757,0.272
6758,0.134
6759,0.002
6760,0.042
6761,0.012
6762,0.008
6763,0
6764,0.84
6765,0.044
6766,0.026
6767,0.012
6768,0.13
6769,0.046
6770,0.17
6771,0.066
6772,0.018
6773,0
6774,0
6775,0.69
6776,0.026
6777,0
6778,0.02
6779,0.15
6780,0.984
6781,0.292
6782,0.054
6783,0.026
6784,0.02
6785,0.058
6786,0.022
6787,0.942
6788,0.08
6789,0.084
6790,0.074
6791,0.008
6792,0
6793,0.328
6794,0
6795,0.202
6796,0.018
6797,0
6798,0.004
6799,0.024
6800,0.006
6801,0.072
6802,0
6803,0
6804,0
6805,0.038
6806,0
6807,0.656
6808,0.996
6809,0.042
6810,0.972
6811,0.034
6812,0.056
6813,0
6814,0.004
6815,0.098
6816,0.254
6817,0.198
6818,0.03
6819,0.942
