"UniqueID","Probability1"
6533,0.076
6534,0.166
6535,0.996
6536,0.318
6537,0.156
6538,0.808
6539,0.902
6540,0.034
6541,0.078
6542,0.004
6543,0.002
6544,0.786
6545,0
6546,0.01
6547,0
6548,0.902
6549,0.854
6550,0.366
6551,0.336
6552,0.034
6553,0.092
6554,0.022
6555,0.942
6556,0.004
6557,0.006
6558,0.528
6559,0.03
6560,0.938
6561,0.534
6562,0.036
6563,0.032
6564,0.036
6565,0.002
6566,0.06
6567,0.258
6568,0.95
6569,0.942
6570,0.012
6571,0.05
6572,0.742
6573,0.974
6574,0.938
6575,0.036
6576,0.814
6577,0
6578,0.032
6579,0.05
6580,0.002
6581,0.634
6582,0.03
6583,0.004
6584,0.084
6585,0
6586,0.048
6587,0.346
6588,0
6589,0
6590,0.114
6591,0.896
6592,0.028
6593,0.006
6594,0.018
6595,0.002
6596,0.008
6597,0.02
6598,0.002
6599,0
6600,0.568
6601,0.15
6602,0
6603,0
6604,0.1
6605,0.128
6606,0.902
6607,0.026
6608,0.92
6609,0.708
6610,0
6611,0
6612,0.5
6613,0
6614,0.118
6615,0
6616,0.242
6617,0.014
6618,0.028
6619,0.072
6620,0
6621,0.036
6622,0.002
6623,0.01
6624,0.014
6625,0.002
6626,0
6627,0
6628,0
6629,0.086
6630,0
6631,0.044
6632,0.288
6633,0.906
6634,0.048
6635,0.53
6636,0.35
6637,0.492
6638,0.374
6639,0.21
6640,0.3
6641,0.426
6642,0.314
6643,0.472
6644,0.392
6645,0.044
6646,0.24
6647,0.044
6648,0.016
6649,0.244
6650,0.948
6651,0
6652,0
6653,0.088
6654,0.012
6655,0.238
6656,0.13
6657,0.008
6658,0.054
6659,0.004
6660,0.45
6661,0
6662,0.002
6663,0.01
6664,0.348
6665,0.07
6666,0
6667,0.028
6668,0.024
6669,0.008
6670,0.75
6671,0.86
6672,0.004
6673,0.038
6674,0.04
6675,0.006
6676,0
6677,0.01
6678,0.002
6679,0.004
6680,0.862
6681,0
6682,0.024
6683,0.136
6684,0.28
6685,0.002
6686,0.002
6687,0.026
6688,0.982
6689,0
6690,0.002
6691,0.162
6692,0.188
6693,0.004
6694,0.956
6695,0.064
6696,0.002
6697,0.822
6698,0.068
6699,0.152
6700,0
6701,0.738
6702,0.022
6703,0.02
6704,0.052
6705,0.002
6706,0
6707,0.068
6708,0.02
6709,0
6710,0.01
6711,0.004
6712,0.026
6713,0.002
6714,0.08
6715,0.012
6716,0
6717,0
6718,0.38
6719,0.09
6720,0.968
6721,0
6722,0.02
6723,0.89
6724,0.148
6725,0.612
6726,0.094
6727,0.104
6728,0.93
6729,0.002
6730,0
6731,0.272
6732,0.026
6733,0.036
6734,0.024
6735,0.068
6736,0.012
6737,0.004
6738,0.222
6739,0.216
6740,0
6741,0.252
6742,0
6743,0.014
6744,0.088
6745,0.358
6746,0.014
6747,0.004
6748,0.022
6749,0.126
6750,0.854
6751,0.002
6752,0.246
6753,0.446
6754,0.006
6755,0
6756,0.024
6757,0.356
6758,0.128
6759,0.002
6760,0.022
6761,0.026
6762,0.006
6763,0.006
6764,0.85
6765,0.024
6766,0.024
6767,0.016
6768,0.112
6769,0.072
6770,0.196
6771,0.096
6772,0.014
6773,0.008
6774,0
6775,0.734
6776,0.024
6777,0
6778,0.03
6779,0.124
6780,0.964
6781,0.306
6782,0.066
6783,0.052
6784,0.01
6785,0.066
6786,0.028
6787,0.932
6788,0.09
6789,0.068
6790,0.048
6791,0
6792,0.008
6793,0.35
6794,0
6795,0.132
6796,0.028
6797,0.002
6798,0
6799,0.016
6800,0.014
6801,0.082
6802,0
6803,0
6804,0
6805,0.01
6806,0
6807,0.648
6808,1
6809,0.05
6810,0.98
6811,0.032
6812,0.062
6813,0
6814,0.014
6815,0.126
6816,0.294
6817,0.216
6818,0.044
6819,0.934
6820,0.026
6821,0.04
6822,0.016
6823,0.078
6824,0.49
6825,0.964
6826,0.03
6827,0.008
6828,0
6829,0.08
6830,0.034
6831,0.046
6832,0.036
6833,0.006
6834,0.026
6835,0.93
6836,0.014
6837,0.024
6838,0.036
6839,0.008
6840,0.012
6841,0.066
6842,0.018
6843,0
6844,0.87
6845,0.854
6846,0
6847,0.204
6848,0.004
6849,0.006
6850,0.106
6851,0
6852,0.89
6853,0.044
6854,0.02
6855,0.008
6856,0.076
6857,0.034
6858,0.004
6859,0.82
6860,0.59
6861,0
6862,0.016
6863,0.03
6864,0.542
6865,0.046
6866,0.838
6867,0.382
6868,0.048
6869,0.626
6870,0.024
6871,0.02
6872,0.054
6873,0.072
6874,0.266
6875,0.044
6876,0.036
6877,0.104
6878,0.398
6879,0.072
6880,0
6881,0.016
6882,0.018
6883,0
6884,0.01
6885,0.96
6886,0.036
6887,0
