"UniqueID","Probability1"
6533,0.1
6534,0.13
6535,0.982
6536,0.288
6537,0.154
6538,0.76
6539,0.894
6540,0.052
6541,0.076
6542,0.002
6543,0.004
6544,0.794
6545,0
6546,0.006
6547,0
6548,0.9
6549,0.844
6550,0.314
6551,0.336
6552,0.018
6553,0.072
6554,0.03
6555,0.92
6556,0.01
6557,0.004
6558,0.496
6559,0.042
6560,0.91
6561,0.566
6562,0.05
6563,0.028
6564,0.04
6565,0
6566,0.054
6567,0.268
6568,0.954
6569,0.934
6570,0.022
6571,0.048
6572,0.742
6573,0.968
6574,0.936
6575,0.036
6576,0.812
6577,0.002
6578,0.02
6579,0.038
6580,0.002
6581,0.616
6582,0.016
6583,0.01
6584,0.096
6585,0
6586,0.056
6587,0.354
6588,0
6589,0
6590,0.164
6591,0.842
6592,0.026
6593,0.022
6594,0.022
6595,0.006
6596,0.002
6597,0.022
6598,0
6599,0.002
6600,0.636
6601,0.168
6602,0
6603,0
6604,0.094
6605,0.128
6606,0.854
6607,0.014
6608,0.904
6609,0.686
6610,0
6611,0.002
6612,0.51
6613,0.002
6614,0.086
6615,0
6616,0.22
6617,0.012
6618,0.036
6619,0.06
6620,0
6621,0.046
6622,0.02
6623,0.006
6624,0.006
6625,0.004
6626,0
6627,0
6628,0
6629,0.07
6630,0
6631,0.04
6632,0.304
6633,0.926
6634,0.048
6635,0.526
6636,0.336
6637,0.476
6638,0.398
6639,0.204
6640,0.258
6641,0.44
6642,0.298
6643,0.42
6644,0.378
6645,0.048
6646,0.24
6647,0.052
6648,0.02
6649,0.24
6650,0.946
6651,0
6652,0
6653,0.066
6654,0.004
6655,0.242
6656,0.134
6657,0.004
6658,0.04
6659,0.002
6660,0.45
6661,0
6662,0.008
6663,0.012
6664,0.314
6665,0.068
6666,0.004
6667,0.022
6668,0.034
6669,0.012
6670,0.692
6671,0.836
6672,0
6673,0.044
6674,0.062
6675,0.008
6676,0
6677,0.012
6678,0.004
6679,0
6680,0.888
6681,0
6682,0.022
6683,0.138
6684,0.252
6685,0.01
6686,0
6687,0.024
6688,0.966
6689,0
6690,0.006
6691,0.186
6692,0.232
6693,0
6694,0.956
6695,0.094
6696,0
6697,0.816
6698,0.044
6699,0.166
6700,0
6701,0.752
6702,0.016
6703,0.018
6704,0.05
6705,0.002
6706,0
6707,0.068
6708,0.004
6709,0
6710,0.002
6711,0.006
6712,0.006
6713,0
6714,0.068
6715,0.006
6716,0
6717,0
6718,0.402
6719,0.074
6720,0.97
6721,0
6722,0.01
6723,0.91
6724,0.104
6725,0.636
6726,0.08
6727,0.14
6728,0.924
6729,0
6730,0
6731,0.294
6732,0.018
6733,0.03
6734,0.03
6735,0.072
6736,0.008
6737,0.002
6738,0.16
6739,0.234
6740,0
6741,0.29
6742,0
6743,0.01
6744,0.07
6745,0.434
6746,0.012
6747,0.002
6748,0.016
6749,0.124
6750,0.858
6751,0.008
6752,0.25
6753,0.422
6754,0.008
6755,0
6756,0.016
6757,0.388
6758,0.138
6759,0.006
6760,0.028
6761,0.02
6762,0.006
6763,0.002
6764,0.818
6765,0.022
6766,0.012
6767,0.01
6768,0.102
6769,0.054
6770,0.224
6771,0.092
6772,0.02
6773,0.004
6774,0
6775,0.732
6776,0.018
6777,0
6778,0.026
6779,0.136
6780,0.956
6781,0.304
6782,0.086
6783,0.048
6784,0.02
6785,0.046
6786,0.028
6787,0.94
6788,0.086
6789,0.066
6790,0.048
6791,0
6792,0.002
6793,0.35
6794,0
6795,0.096
6796,0.03
6797,0
6798,0
6799,0.022
6800,0.01
6801,0.058
6802,0.004
6803,0
6804,0.002
6805,0.008
6806,0
6807,0.7
6808,0.996
6809,0.046
6810,0.99
6811,0.036
6812,0.072
6813,0
6814,0.002
6815,0.14
6816,0.296
6817,0.208
6818,0.046
6819,0.926
6820,0.022
6821,0.02
6822,0.004
6823,0.046
6824,0.534
6825,0.928
6826,0.02
6827,0.006
6828,0.004
6829,0.07
6830,0.04
6831,0.04
6832,0.026
6833,0.002
6834,0.036
6835,0.912
6836,0.004
6837,0.024
6838,0.024
6839,0
6840,0.006
6841,0.068
6842,0.012
6843,0
6844,0.866
6845,0.872
6846,0
6847,0.242
6848,0.002
6849,0.008
6850,0.096
6851,0
6852,0.794
6853,0.024
6854,0.016
6855,0.006
6856,0.066
6857,0.044
6858,0.002
6859,0.728
6860,0.616
6861,0.002
6862,0.012
6863,0.036
6864,0.572
6865,0.03
6866,0.796
6867,0.372
6868,0.076
6869,0.65
6870,0.034
6871,0.016
6872,0.036
6873,0.07
6874,0.344
6875,0.076
6876,0.046
6877,0.084
6878,0.38
6879,0.07
6880,0
6881,0.024
6882,0.014
6883,0
6884,0.016
6885,0.972
6886,0.028
6887,0
6888,0.008
6889,0.032
6890,0
6891,0.006
6892,0.004
6893,0.032
6894,0
6895,0.004
6896,0.002
6897,0.028
6898,0.008
6899,0.002
6900,0
6901,0
6902,0.026
6903,0.274
6904,0.98
6905,0.062
6906,0.02
6907,0.062
6908,0.006
6909,0.066
6910,0.01
6911,0.01
6912,0
6913,0.138
6914,0
6915,0.028
6916,0.01
6917,0.01
6918,0.22
6919,0.006
6920,0.288
6921,0.856
6922,0.082
6923,0.002
6924,0.126
6925,0.586
6926,0.002
6927,0.772
6928,0.008
6929,0.01
6930,0.014
6931,0.014
6932,0.024
