"UniqueID","Probability1"
6533,0.102
6534,0.22
6535,0.996
6536,0.334
6537,0.214
6538,0.79
6539,0.938
6540,0.034
6541,0.062
6542,0.004
6543,0.024
6544,0.856
6545,0.002
6546,0.01
6547,0
6548,0.884
6549,0.804
6550,0.35
6551,0.368
6552,0.058
6553,0.16
6554,0.02
6555,0.94
6556,0.006
6557,0.004
6558,0.518
6559,0.054
6560,0.564
6561,0.564
6562,0.064
6563,0.046
6564,0.054
6565,0.002
6566,0.082
6567,0.24
6568,0.992
6569,0.958
6570,0.008
6571,0.048
6572,0.67
6573,0.948
6574,0.9
6575,0.04
6576,0.78
6577,0.002
6578,0.054
6579,0.032
6580,0.006
6581,0.624
6582,0.024
6583,0.006
6584,0.112
6585,0
6586,0.082
6587,0.28
6588,0
6589,0.002
6590,0.18
6591,0.856
6592,0.028
6593,0.026
6594,0.024
6595,0.036
6596,0.008
6597,0.006
6598,0.01
6599,0.002
6600,0.502
6601,0.132
6602,0
6603,0
6604,0.056
6605,0.1
6606,0.924
6607,0.016
6608,0.914
6609,0.706
6610,0
6611,0.002
6612,0.472
6613,0
6614,0.096
6615,0.002
6616,0.156
6617,0.038
6618,0.02
6619,0.088
6620,0
6621,0.062
6622,0.022
6623,0.008
6624,0.004
6625,0.006
6626,0
6627,0
6628,0
6629,0.118
6630,0
6631,0.048
6632,0.226
6633,0.91
6634,0.066
6635,0.44
6636,0.322
6637,0.41
6638,0.324
6639,0.2
6640,0.272
6641,0.418
6642,0.284
6643,0.422
6644,0.354
6645,0.054
6646,0.31
6647,0.084
6648,0.028
6649,0.3
6650,0.966
6651,0
6652,0.004
6653,0.064
6654,0.01
6655,0.266
6656,0.07
6657,0.006
6658,0.062
6659,0.002
6660,0.494
6661,0.002
6662,0.008
6663,0.008
6664,0.428
6665,0.064
6666,0
6667,0.032
6668,0.012
6669,0.014
6670,0.732
6671,0.838
6672,0.002
6673,0.042
6674,0.084
6675,0.006
6676,0
6677,0.01
6678,0.006
6679,0
6680,0.858
6681,0
6682,0.024
6683,0.126
6684,0.352
6685,0.006
6686,0.018
6687,0.026
6688,0.982
6689,0.002
6690,0.018
6691,0.138
6692,0.174
6693,0
6694,0.982
6695,0.066
6696,0
6697,0.77
6698,0.08
6699,0.12
6700,0
6701,0.744
6702,0.014
6703,0.038
6704,0.084
6705,0.002
6706,0
6707,0.072
6708,0.006
6709,0.002
6710,0.014
6711,0.014
6712,0.05
6713,0
6714,0.046
6715,0.004
6716,0.002
6717,0
6718,0.362
6719,0.094
6720,0.97
6721,0
6722,0.014
6723,0.932
6724,0.156
6725,0.638
6726,0.066
6727,0.096
6728,0.96
6729,0.002
6730,0
6731,0.272
6732,0.014
6733,0.032
6734,0.036
6735,0.086
6736,0.04
6737,0.006
6738,0.104
6739,0.244
6740,0
6741,0.336
6742,0
6743,0.01
6744,0.024
6745,0.332
6746,0.04
6747,0.004
6748,0.022
6749,0.154
6750,0.872
6751,0.008
6752,0.332
6753,0.432
6754,0.01
6755,0
6756,0.038
6757,0.3
6758,0.146
6759,0.02
6760,0.024
6761,0.012
6762,0.008
6763,0.004
6764,0.906
6765,0.02
6766,0.02
6767,0.02
6768,0.128
6769,0.056
6770,0.198
6771,0.086
6772,0.012
6773,0.008
6774,0
6775,0.692
6776,0.022
6777,0
6778,0.024
6779,0.11
6780,0.954
6781,0.222
6782,0.06
6783,0.012
6784,0.014
6785,0.058
6786,0.014
6787,0.944
6788,0.082
6789,0.068
6790,0.058
6791,0
6792,0
6793,0.376
6794,0
6795,0.094
6796,0.026
6797,0.004
6798,0.004
6799,0.01
6800,0.014
6801,0.028
6802,0.002
6803,0
6804,0.002
6805,0.002
6806,0
6807,0.64
6808,1
6809,0.05
6810,0.972
6811,0.022
6812,0.09
6813,0
6814,0.022
6815,0.136
6816,0.32
6817,0.184
6818,0.026
6819,0.936
6820,0.042
6821,0.034
6822,0.032
6823,0.058
6824,0.502
6825,0.958
6826,0.026
6827,0.008
6828,0.004
