"UniqueID","Probability1"
6533,0.102
6534,0.25
6535,0.99
6536,0.484
6537,0.31
6538,0.53
6539,0.924
6540,0.046
6541,0.058
6542,0.03
6543,0.018
6544,0.942
6545,0.008
6546,0.008
6547,0.022
6548,0.87
6549,0.646
6550,0.154
6551,0.464
6552,0.084
6553,0.066
6554,0.01
6555,0.79
6556,0.006
6557,0
6558,0.618
6559,0.092
6560,0.618
6561,0.472
6562,0.008
6563,0.03
6564,0.02
6565,0.012
6566,0.06
6567,0.19
6568,0.922
6569,0.954
6570,0.036
6571,0.164
6572,0.71
6573,0.91
6574,0.71
6575,0.03
6576,0.62
6577,0.008
6578,0.012
6579,0.21
6580,0.014
6581,0.708
6582,0.012
6583,0.006
6584,0.23
6585,0.012
6586,0.102
6587,0.234
6588,0.016
6589,0
6590,0.104
6591,0.842
6592,0.05
6593,0.01
6594,0.042
6595,0.058
6596,0.03
6597,0.014
6598,0.008
6599,0
6600,0.352
6601,0.206
6602,0.002
6603,0.004
6604,0.044
6605,0.154
6606,0.89
6607,0.012
6608,0.772
6609,0.61
6610,0
6611,0.006
6612,0.348
6613,0.018
6614,0.038
6615,0
6616,0.11
6617,0.044
6618,0.098
6619,0.092
6620,0
6621,0.11
6622,0.03
6623,0.004
6624,0.03
6625,0.084
6626,0
6627,0.016
6628,0.01
6629,0.106
6630,0
6631,0.048
6632,0.29
6633,0.91
6634,0.038
6635,0.302
6636,0.284
6637,0.324
6638,0.336
6639,0.156
6640,0.258
6641,0.384
6642,0.216
6643,0.47
6644,0.408
6645,0.062
6646,0.38
6647,0.098
6648,0.03
6649,0.206
6650,0.958
6651,0
6652,0.004
6653,0.016
6654,0.012
6655,0.114
6656,0.034
6657,0.004
6658,0.308
6659,0.01
6660,0.346
6661,0.008
6662,0.036
6663,0.024
6664,0.346
6665,0.082
6666,0
6667,0.066
6668,0.02
6669,0.028
6670,0.75
6671,0.926
6672,0.004
6673,0.024
6674,0.044
6675,0.004
6676,0.014
6677,0.014
6678,0.004
6679,0.004
6680,0.876
6681,0.006
6682,0.028
6683,0.052
6684,0.318
6685,0.016
6686,0.026
6687,0.008
6688,0.888
6689,0
6690,0.018
6691,0.118
6692,0.104
6693,0.006
6694,0.836
6695,0.066
6696,0
6697,0.676
6698,0.078
6699,0.114
6700,0.004
6701,0.556
6702,0.014
6703,0.012
6704,0.146
6705,0.014
6706,0.002
6707,0.112
6708,0.018
6709,0.062
6710,0.032
6711,0.07
6712,0.112
6713,0.084
6714,0.262
6715,0.014
6716,0.042
6717,0.004
6718,0.232
6719,0.094
6720,0.916
6721,0
6722,0.03
6723,0.872
6724,0.268
6725,0.412
6726,0.064
6727,0.108
6728,0.852
