"UniqueID","Probability1"
6533,0.024
6534,0.02
6535,0.97
6536,0.116
6537,0.264
6538,0.982
6539,0.948
6540,0.018
6541,0.052
6542,0
6543,0.016
6544,0.964
6545,0
6546,0
6547,0
6548,0.974
6549,0.986
6550,0.266
6551,0.266
6552,0
6553,0.002
6554,0.046
6555,0.964
6556,0
6557,0
6558,0.46
6559,0
6560,0.992
6561,0.444
6562,0.012
6563,0
6564,0
6565,0
6566,0.016
6567,0.09
6568,0.994
6569,0.992
6570,0.006
6571,0.012
6572,0.796
6573,0.992
6574,0.986
6575,0.002
6576,0.638
6577,0
6578,0
6579,0.04
6580,0
6581,0.714
6582,0.006
6583,0.002
6584,0.052
6585,0.002
6586,0
6587,0.27
6588,0
6589,0
6590,0.212
6591,0.916
6592,0
6593,0
6594,0
6595,0
6596,0
6597,0.016
6598,0
6599,0
6600,0.634
6601,0.13
6602,0
6603,0
6604,0.038
6605,0.134
6606,0.992
6607,0.01
6608,0.996
6609,0.972
6610,0
6611,0
6612,0.226
6613,0.002
6614,0.044
6615,0
6616,0.024
6617,0
6618,0.028
6619,0.068
6620,0.002
6621,0.056
6622,0.006
6623,0
6624,0.008
6625,0.012
6626,0
6627,0
6628,0
6629,0
6630,0
6631,0.01
6632,0.222
6633,0.764
6634,0.022
6635,0.52
6636,0.33
6637,0.42
6638,0.396
6639,0.084
6640,0.272
6641,0.38
6642,0.3
6643,0.39
6644,0.396
6645,0.07
6646,0.264
6647,0
6648,0.004
6649,0.178
6650,1
6651,0
6652,0
6653,0.01
6654,0.004
6655,0.086
6656,0.006
6657,0.002
6658,0
6659,0
6660,0.434
6661,0
6662,0
6663,0.022
6664,0.292
6665,0.002
6666,0
6667,0.052
6668,0.004
6669,0.024
6670,0.988
6671,0.988
6672,0
6673,0.04
6674,0.046
6675,0
6676,0
6677,0
6678,0.002
6679,0
6680,0.874
6681,0
6682,0.004
6683,0.032
6684,0.534
6685,0
6686,0
6687,0.022
6688,0.998
6689,0
6690,0
6691,0.064
6692,0.248
6693,0
6694,0.98
6695,0.048
6696,0
6697,0.69
6698,0.036
6699,0.05
6700,0
6701,0.274
6702,0
6703,0.024
6704,0.024
6705,0
6706,0
6707,0.152
6708,0.002
6709,0
6710,0
6711,0
6712,0
6713,0.002
6714,0.032
6715,0
6716,0
6717,0
6718,0.134
6719,0.018
6720,0.998
6721,0
6722,0
6723,0.994
6724,0.008
6725,0.584
6726,0
6727,0.182
6728,0.97
6729,0
6730,0
6731,0.164
6732,0
6733,0.008
6734,0.004
6735,0.006
6736,0
6737,0
6738,0.008
6739,0.172
6740,0
6741,0.036
6742,0
6743,0
6744,0.036
6745,0.216
6746,0.008
6747,0
6748,0.03
6749,0.004
6750,0.968
6751,0
6752,0.354
6753,0.438
6754,0
6755,0
6756,0
6757,0.326
6758,0.186
6759,0
6760,0.038
6761,0.07
6762,0
6763,0
6764,0.998
6765,0
6766,0
6767,0.002
6768,0.086
6769,0.034
6770,0.022
6771,0.01
6772,0
6773,0
6774,0
6775,0.884
6776,0
6777,0
6778,0.002
6779,0.032
6780,1
6781,0.376
6782,0.004
6783,0
6784,0.002
6785,0.034
6786,0.026
6787,0.988
6788,0.044
6789,0
6790,0.048
6791,0
6792,0
6793,0.122
6794,0
6795,0.12
6796,0
6797,0
6798,0
6799,0.026
6800,0.016
6801,0.078
6802,0.004
6803,0
6804,0.002
6805,0.002
6806,0
6807,0.608
6808,0.98
6809,0
6810,0.948
6811,0
6812,0.122
6813,0
6814,0
6815,0.008
6816,0.134
6817,0.028
6818,0
6819,1
6820,0
6821,0
6822,0.004
6823,0.338
6824,0.828
6825,0.998
6826,0
6827,0
6828,0
6829,0.098
6830,0
6831,0.014
6832,0.02
6833,0
6834,0.002
6835,0.996
6836,0
6837,0.006
6838,0.002
6839,0
6840,0
6841,0
6842,0
6843,0
6844,0.968
6845,1
6846,0
6847,0.322
6848,0.004
6849,0
6850,0.012
6851,0
6852,0.978
6853,0
6854,0.028
6855,0
6856,0
6857,0.03
6858,0
6859,0.986
6860,0.628
6861,0
6862,0
6863,0.052
6864,0.404
6865,0
6866,0.98
6867,0.384
6868,0
6869,0.608
6870,0.004
6871,0.024
6872,0.004
6873,0.078
6874,0.112
6875,0
6876,0
6877,0.058
6878,0.288
6879,0.004
6880,0
6881,0.024
6882,0
6883,0
6884,0.002
6885,0.966
6886,0
6887,0
6888,0.002
6889,0
6890,0
6891,0.01
6892,0.004
6893,0
6894,0
6895,0
6896,0
6897,0.002
6898,0
6899,0
6900,0
6901,0
6902,0.002
6903,0.104
6904,0.898
6905,0.036
6906,0
6907,0.016
6908,0
6909,0.006
6910,0
6911,0
6912,0
6913,0.054
6914,0
6915,0
6916,0
6917,0
6918,0.19
6919,0.006
6920,0.074
6921,0.95
6922,0.074
6923,0
6924,0.006
6925,0.566
6926,0.002
6927,0.674
6928,0
6929,0
6930,0.018
6931,0
6932,0
6933,0
6934,0.99
6935,0.45
6936,0
6937,0
6938,0.02
6939,0
6940,0.974
6941,0.13
6942,0.002
6943,0.896
6944,0.026
6945,0
6946,0.002
6947,0.026
6948,0
6949,0.03
6950,0.162
6951,0.078
6952,0.006
6953,0.72
6954,0
6955,0.102
6956,0.928
6957,0
6958,0
6959,0
6960,0.16
6961,0.02
6962,0
6963,0.146
6964,0
6965,0.004
6966,0.1
6967,0.974
6968,0.06
6969,0.004
6970,0
6971,0.008
6972,0.634
6973,0.03
6974,0
6975,0.004
6976,0
6977,0
6978,0
6979,0.062
6980,0
6981,0
6982,0.132
6983,0
6984,0
6985,0.008
6986,0
6987,0
6988,0
6989,0.002
6990,0.972
6991,0.002
6992,0.004
6993,0.002
6994,0.014
6995,0
6996,0
6997,0.002
6998,0
6999,0
7000,0.022
7001,0
7002,0.91
7003,1
7004,0.422
7005,0.982
7006,0.002
7007,0
7008,0.01
7009,0.96
7010,0
7011,0.028
7012,0.97
7013,0.016
7014,0.4
7015,0
7016,0.68
7017,0.388
7018,0.154
7019,0.026
7020,0.054
7021,0.952
7022,0.984
7023,0.982
7024,0.952
7025,0.07
7026,0.994
7027,0.046
7028,0.002
7029,0
7030,0.646
7031,0.028
7032,0.332
7033,0.014
7034,0.116
7035,0.078
7036,0.014
7037,0.976
7038,0.066
7039,0.046
7040,0.002
7041,0
7042,0
7043,0.07
7044,0.278
7045,0.04
7046,0
7047,0.988
7048,0.908
7049,0.138
7050,0
7051,0.016
7052,0.178
7053,0.004
7054,0.03
7055,0.002
7056,0.2
7057,0.002
7058,0.046
7059,0
7060,0
7061,0.998
7062,0
7063,0.018
7064,0.058
7065,0.042
7066,0.162
7067,0.012
7068,0
7069,0
7070,0.166
7071,0.052
7072,0.888
7073,0.476
7074,0.002
7075,0.044
7076,0
7077,0
7078,0.222
7079,0.346
7080,0
7081,0.266
7082,0.822
7083,0
7084,0.93
7085,0.006
7086,0.03
7087,0.986
7088,0.002
7089,0.65
7090,0
7091,0
7092,0.052
7093,0
7094,0
7095,0.818
7096,0
7097,0.982
7098,0.056
7099,0
7100,0.008
7101,0
7102,0
7103,0.296
7104,0.002
7105,0.004
7106,0.002
7107,0
7108,0.004
7109,0.002
7110,0.006
