"UniqueID","Probability1"
6533,0.027
6534,0.016
6535,0.954
6536,0.085
6537,0.277
6538,0.991
6539,0.953
6540,0.027
6541,0.038
6542,0
6543,0.013
6544,0.962
6545,0
6546,0
6547,0
6548,0.987
6549,0.993
6550,0.289
6551,0.277
6552,0
6553,0.009
6554,0.039
6555,0.973
6556,0
6557,0
6558,0.475
6559,0
6560,0.977
6561,0.45
6562,0.018
6563,0
6564,0
6565,0
6566,0.008
6567,0.102
6568,0.991
6569,0.977
6570,0.003
6571,0.016
6572,0.807
6573,0.988
6574,0.993
6575,0.003
6576,0.713
6577,0
6578,0
6579,0.044
6580,0
6581,0.684
6582,0.005
6583,0.002
6584,0.054
6585,0
6586,0.004
6587,0.292
6588,0
6589,0.001
6590,0.208
6591,0.916
6592,0
6593,0
6594,0.001
6595,0
6596,0
6597,0.016
6598,0
6599,0
6600,0.625
6601,0.125
6602,0
6603,0
6604,0.037
6605,0.107
6606,0.977
6607,0.01
6608,0.988
6609,0.974
6610,0
6611,0
6612,0.192
6613,0.003
6614,0.059
6615,0
6616,0.017
6617,0.001
6618,0.026
6619,0.06
6620,0.001
6621,0.038
6622,0.011
6623,0
6624,0.007
6625,0.019
6626,0.001
6627,0
6628,0
6629,0
6630,0
6631,0.008
6632,0.221
6633,0.749
6634,0.026
6635,0.501
6636,0.338
6637,0.421
6638,0.441
6639,0.088
6640,0.243
6641,0.404
6642,0.279
6643,0.434
6644,0.436
6645,0.065
6646,0.27
6647,0
6648,0.001
6649,0.185
6650,0.993
6651,0
6652,0
6653,0.006
6654,0.003
6655,0.081
6656,0.002
6657,0.002
6658,0
6659,0.001
6660,0.414
6661,0
6662,0
6663,0.025
6664,0.282
6665,0.005
6666,0
6667,0.052
6668,0.002
6669,0.028
6670,0.981
6671,0.979
6672,0
6673,0.031
6674,0.049
6675,0
6676,0
6677,0
6678,0.003
6679,0
6680,0.905
6681,0
6682,0.004
6683,0.024
6684,0.553
6685,0
6686,0
6687,0.029
6688,0.988
6689,0
6690,0
6691,0.054
6692,0.226
6693,0
6694,0.992
6695,0.053
6696,0
6697,0.737
6698,0.039
6699,0.056
6700,0
6701,0.272
6702,0
6703,0.023
6704,0.016
6705,0.001
6706,0
6707,0.176
6708,0
6709,0
6710,0
6711,0.002
6712,0
6713,0.001
6714,0.021
6715,0.006
6716,0
6717,0
6718,0.097
6719,0.031
6720,0.985
6721,0
6722,0
6723,0.985
6724,0.005
6725,0.563
6726,0.002
6727,0.176
6728,0.967
6729,0
6730,0
6731,0.16
6732,0
6733,0.007
6734,0.004
6735,0.001
6736,0
6737,0
6738,0.026
6739,0.157
6740,0
6741,0.032
6742,0
6743,0
6744,0.04
6745,0.172
6746,0.005
6747,0
6748,0.042
6749,0
6750,0.958
6751,0.001
6752,0.349
6753,0.43
6754,0.004
6755,0
6756,0.002
6757,0.334
6758,0.196
6759,0.001
6760,0.047
6761,0.055
6762,0
6763,0
6764,0.993
6765,0.003
6766,0
6767,0.001
6768,0.101
6769,0.034
6770,0.026
6771,0.017
6772,0.002
6773,0
6774,0
6775,0.885
6776,0.004
6777,0
6778,0
6779,0.029
6780,1
6781,0.398
6782,0.003
6783,0.001
6784,0.001
6785,0.028
6786,0.033
6787,0.973
6788,0.053
6789,0.002
6790,0.041
6791,0
6792,0
6793,0.103
6794,0
6795,0.12
6796,0
6797,0
6798,0.002
6799,0.02
6800,0.019
6801,0.048
6802,0.003
6803,0.001
6804,0
6805,0
6806,0
6807,0.605
6808,0.988
6809,0
6810,0.949
6811,0.001
6812,0.128
6813,0
6814,0.002
6815,0.003
6816,0.108
6817,0.022
6818,0
6819,0.999
6820,0.001
6821,0
6822,0.001
6823,0.309
6824,0.807
6825,0.997
6826,0
6827,0
6828,0
6829,0.119
6830,0.001
6831,0.01
6832,0.021
6833,0
6834,0.001
6835,0.998
6836,0.001
6837,0.007
6838,0.005
6839,0.001
6840,0
6841,0
6842,0.002
6843,0
6844,0.973
6845,0.999
6846,0
6847,0.331
6848,0.003
6849,0.001
6850,0.011
6851,0
6852,0.97
6853,0
6854,0.019
6855,0
6856,0
6857,0.03
6858,0
6859,0.984
6860,0.641
6861,0
6862,0
6863,0.049
6864,0.388
6865,0.002
6866,0.968
6867,0.384
6868,0.002
6869,0.594
6870,0.01
6871,0.026
6872,0.003
6873,0.057
6874,0.118
6875,0.001
6876,0
6877,0.04
6878,0.296
6879,0.008
6880,0
6881,0.026
6882,0
6883,0
6884,0.001
6885,0.978
6886,0
6887,0
6888,0.002
6889,0.001
6890,0
6891,0.003
6892,0.005
6893,0.002
6894,0.001
6895,0
6896,0.001
6897,0.003
6898,0.002
6899,0
6900,0
6901,0
6902,0
6903,0.096
6904,0.891
6905,0.023
6906,0
6907,0.02
6908,0
6909,0.003
6910,0
6911,0
6912,0
6913,0.028
6914,0
6915,0
6916,0
6917,0
6918,0.199
6919,0.008
6920,0.069
6921,0.964
6922,0.088
6923,0
6924,0.006
6925,0.589
6926,0.002
6927,0.695
6928,0
6929,0
6930,0.028
6931,0
6932,0.001
6933,0.001
