"UniqueID","Probability1"
6533,0.096
6534,0.188
6535,0.98
6536,0.276
6537,0.204
6538,0.83
6539,0.878
6540,0.034
6541,0.054
6542,0.004
6543,0.018
6544,0.858
6545,0
6546,0
6547,0
6548,0.924
6549,0.746
6550,0.196
6551,0.308
6552,0.006
6553,0.036
6554,0.032
6555,0.966
6556,0.004
6557,0.002
6558,0.586
6559,0.022
6560,0.916
6561,0.526
6562,0.026
6563,0.012
6564,0.002
6565,0
6566,0.052
6567,0.218
6568,0.936
6569,0.928
6570,0.014
6571,0.064
6572,0.706
6573,0.972
6574,0.942
6575,0.032
6576,0.864
6577,0
6578,0
6579,0.04
6580,0
6581,0.768
6582,0.026
6583,0.008
6584,0.192
6585,0
6586,0.046
6587,0.29
6588,0
6589,0
6590,0.146
6591,0.868
6592,0.206
6593,0.008
6594,0.02
6595,0
6596,0.002
6597,0.008
6598,0
6599,0
6600,0.658
6601,0.174
6602,0
6603,0
6604,0.052
6605,0.146
6606,0.878
6607,0.014
6608,0.924
6609,0.694
6610,0
6611,0.002
6612,0.418
6613,0
6614,0.068
6615,0
6616,0.12
6617,0.026
6618,0.014
6619,0.054
6620,0
6621,0.064
6622,0.026
6623,0.004
6624,0
6625,0.006
6626,0
6627,0.004
6628,0.026
6629,0.05
6630,0
6631,0.034
6632,0.278
6633,0.91
6634,0.048
6635,0.454
6636,0.346
6637,0.47
6638,0.416
6639,0.178
6640,0.252
6641,0.318
6642,0.296
6643,0.472
6644,0.32
6645,0.054
6646,0.262
6647,0.02
6648,0.02
6649,0.228
6650,0.964
6651,0
6652,0
6653,0.026
6654,0.012
6655,0.334
6656,0.088
6657,0.004
6658,0.02
6659,0.002
6660,0.586
6661,0
6662,0.004
6663,0.008
6664,0.374
6665,0.072
6666,0
6667,0.054
6668,0.008
6669,0.006
6670,0.882
6671,0.844
6672,0
6673,0.056
6674,0.044
6675,0.014
6676,0
6677,0.012
6678,0.008
6679,0.004
6680,0.82
6681,0
6682,0.018
6683,0.11
6684,0.374
6685,0
6686,0.018
6687,0.026
6688,0.98
6689,0
6690,0.04
6691,0.084
6692,0.18
6693,0
6694,0.98
6695,0.042
6696,0
6697,0.808
6698,0.072
6699,0.034
6700,0.008
6701,0.678
6702,0.014
6703,0.002
6704,0.024
6705,0.006
6706,0
6707,0.074
6708,0.004
6709,0.004
