"UniqueID","Probability1"
6533,0.066
6534,0.142
6535,0.982
6536,0.356
6537,0.252
6538,0.87
6539,0.91
6540,0.024
6541,0.07
6542,0.002
6543,0
6544,0.79
6545,0
6546,0.002
6547,0
6548,0.944
6549,0.956
6550,0.206
6551,0.392
6552,0.012
6553,0.02
6554,0.038
6555,0.934
6556,0.002
6557,0
6558,0.458
6559,0
6560,0.936
6561,0.406
6562,0.05
6563,0.002
6564,0.004
6565,0
6566,0.028
6567,0.256
6568,0.964
6569,0.936
6570,0.004
6571,0.128
6572,0.722
6573,0.972
6574,0.954
6575,0.026
6576,0.87
6577,0
6578,0
6579,0.028
6580,0
6581,0.81
6582,0.016
6583,0.004
6584,0.1
6585,0
6586,0.038
6587,0.214
6588,0
6589,0
6590,0.138
6591,0.912
6592,0.186
6593,0
6594,0.012
6595,0.002
6596,0
6597,0.016
6598,0
6599,0
6600,0.738
6601,0.192
6602,0
6603,0.002
6604,0.044
6605,0.148
6606,0.912
6607,0.008
6608,0.934
6609,0.68
6610,0
6611,0.004
6612,0.406
6613,0
6614,0.054
6615,0
6616,0.024
6617,0.002
6618,0.098
6619,0.062
6620,0
6621,0.07
6622,0.008
6623,0.006
6624,0.002
6625,0.004
6626,0
6627,0
6628,0.012
6629,0.084
6630,0
6631,0.058
6632,0.254
6633,0.914
6634,0.048
6635,0.432
6636,0.318
6637,0.442
6638,0.328
6639,0.164
6640,0.24
6641,0.294
6642,0.278
6643,0.42
6644,0.302
6645,0.06
6646,0.254
6647,0.032
6648,0.052
6649,0.164
6650,0.974
6651,0
6652,0
6653,0.028
6654,0.004
6655,0.436
6656,0.068
6657,0.004
6658,0.032
6659,0.008
6660,0.62
6661,0
6662,0
6663,0.01
6664,0.348
6665,0.008
6666,0
6667,0.022
6668,0.004
6669,0.008
6670,0.868
6671,0.844
6672,0
6673,0.046
6674,0.042
6675,0.002
6676,0
6677,0.008
6678,0.004
6679,0.004
6680,0.89
6681,0.004
6682,0.016
6683,0.084
6684,0.314
6685,0
6686,0
6687,0.018
6688,0.996
6689,0
6690,0.048
6691,0.092
6692,0.214
6693,0
6694,0.976
6695,0.078
6696,0
6697,0.798
6698,0.074
6699,0.118
6700,0.008
6701,0.76
6702,0.01
6703,0.016
6704,0.018
6705,0.002
6706,0
6707,0.018
6708,0.002
6709,0
6710,0.008
6711,0
6712,0.012
6713,0.064
6714,0.116
6715,0.01
6716,0.002
6717,0
6718,0.36
6719,0.066
6720,0.936
6721,0
6722,0.012
6723,0.948
6724,0.084
6725,0.648
6726,0.224
6727,0.124
6728,0.804
6729,0.002
6730,0
6731,0.392
6732,0.002
6733,0.016
6734,0.014
6735,0.02
6736,0.03
6737,0.002
6738,0.096
6739,0.25
6740,0
6741,0.196
6742,0
6743,0.02
6744,0.11
6745,0.376
6746,0.014
6747,0
6748,0.024
6749,0.038
6750,0.89
6751,0.002
6752,0.284
6753,0.38
6754,0.002
6755,0
6756,0.012
6757,0.246
6758,0.16
6759,0.002
6760,0.032
6761,0.032
6762,0
6763,0
6764,0.88
6765,0.022
6766,0
6767,0.012
6768,0.072
6769,0.082
6770,0.134
6771,0.072
6772,0.156
6773,0.002
6774,0
6775,0.776
6776,0.006
6777,0
6778,0.006
6779,0.086
6780,0.922
6781,0.234
6782,0.162
6783,0.02
6784,0.004
6785,0.044
6786,0.062
6787,0.94
6788,0.178
6789,0.034
6790,0.068
6791,0.002
6792,0.006
6793,0.386
6794,0.002
6795,0.038
6796,0
6797,0.004
6798,0
6799,0.006
6800,0.02
6801,0.054
6802,0.006
6803,0
6804,0
6805,0.016
6806,0
6807,0.664
6808,0.994
6809,0.018
6810,0.96
6811,0
6812,0.082
6813,0
6814,0.012
6815,0.042
6816,0.21
6817,0.14
6818,0.018
6819,0.918
6820,0.03
6821,0.01
6822,0.018
6823,0.282
6824,0.442
6825,0.96
6826,0
6827,0.004
6828,0
6829,0.07
6830,0.062
6831,0.03
6832,0.006
6833,0.006
6834,0
6835,0.988
6836,0.004
6837,0.038
6838,0.044
6839,0.004
6840,0.014
6841,0.004
6842,0.008
6843,0.002
6844,0.866
6845,0.748
6846,0
6847,0.17
6848,0.002
6849,0.004
6850,0.306
6851,0.002
6852,0.826
6853,0
6854,0.004
6855,0.002
6856,0
6857,0.046
6858,0
6859,0.854
6860,0.604
6861,0.002
6862,0.002
6863,0.034
6864,0.448
6865,0.034
6866,0.892
6867,0.242
6868,0.01
6869,0.572
6870,0.024
6871,0.014
6872,0.044
6873,0.238
6874,0.272
6875,0.002
6876,0.008
6877,0.13
6878,0.33
6879,0.046
6880,0
6881,0.026
6882,0.064
6883,0.002
6884,0.006
6885,0.964
6886,0.032
6887,0
6888,0
6889,0.034
6890,0.002
6891,0.01
6892,0
6893,0.016
6894,0
6895,0.004
6896,0.002
6897,0.022
6898,0.04
6899,0.002
6900,0
6901,0
6902,0.01
6903,0.206
6904,0.98
6905,0.022
6906,0.01
6907,0.036
6908,0.002
6909,0.07
6910,0.016
6911,0.02
6912,0
6913,0.154
6914,0
6915,0.026
6916,0
6917,0.012
6918,0.38
6919,0.01
6920,0.162
6921,0.912
6922,0.088
6923,0.006
6924,0.096
6925,0.586
6926,0
6927,0.758
6928,0
6929,0.006
6930,0.008
6931,0.016
6932,0.042
6933,0
6934,0.758
6935,0.464
6936,0
6937,0
6938,0.046
6939,0.008
6940,0.984
6941,0.112
6942,0.002
6943,0.858
6944,0.036
6945,0
6946,0.018
6947,0.076
6948,0
6949,0.002
6950,0.326
6951,0.156
6952,0.014
6953,0.596
6954,0.032
6955,0.11
6956,0.886
6957,0.016
6958,0
6959,0.002
6960,0.166
6961,0.004
6962,0.008
6963,0.57
6964,0.03
6965,0.038
6966,0.116
6967,0.956
6968,0.048
6969,0.01
6970,0.022
6971,0.118
6972,0.67
6973,0.068
6974,0
6975,0.008
6976,0.028
6977,0.018
6978,0
6979,0.122
6980,0.002
6981,0.006
6982,0.17
6983,0.028
6984,0.002
6985,0.014
6986,0.006
6987,0
6988,0
6989,0.014
6990,0.864
6991,0.002
6992,0.01
6993,0.002
6994,0.022
6995,0.006
6996,0.048
6997,0
6998,0.006
6999,0
7000,0.068
7001,0.016
7002,0.966
7003,0.998
7004,0.13
7005,0.84
7006,0.01
7007,0
7008,0.01
7009,0.98
7010,0
